CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 0.707031 1521115191.2215
MEM 12.621094 1521115191.3218
MEM 18.972656 1521115191.4221
MEM 23.609375 1521115191.5223
MEM 29.136719 1521115191.6226
MEM 39.882812 1521115191.7229
MEM 36.210938 1521115191.8229
MEM 39.785156 1521115191.9232
MEM 41.570312 1521115192.0234
MEM 48.347656 1521115192.1237
MEM 49.011719 1521115192.2240
MEM 49.511719 1521115192.3243
MEM 51.390625 1521115192.4246
MEM 55.152344 1521115192.5248
MEM 62.812500 1521115192.6251
MEM 73.699219 1521115192.7253
MEM 86.476562 1521115192.8256
MEM 93.371094 1521115192.9259
MEM 98.964844 1521115193.0262
MEM 152.207031 1521115193.1266
MEM 113.523438 1521115193.2267
MEM 113.523438 1521115193.3270
MEM 113.523438 1521115193.4273
MEM 113.523438 1521115193.5275
MEM 113.523438 1521115193.6278
MEM 113.523438 1521115193.7281
MEM 113.523438 1521115193.8283
MEM 113.523438 1521115193.9286
MEM 113.523438 1521115194.0289
MEM 113.523438 1521115194.1291
MEM 113.523438 1521115194.2294
MEM 113.523438 1521115194.3297
MEM 113.523438 1521115194.4299
MEM 113.523438 1521115194.5302
MEM 113.523438 1521115194.6305
MEM 113.523438 1521115194.7307
MEM 113.523438 1521115194.8310
MEM 113.523438 1521115194.9313
MEM 113.523438 1521115195.0315
MEM 113.523438 1521115195.1318
MEM 113.523438 1521115195.2321
MEM 113.523438 1521115195.3323
MEM 113.523438 1521115195.4326
MEM 113.523438 1521115195.5329
MEM 113.523438 1521115195.6331
MEM 113.523438 1521115195.7334
MEM 113.523438 1521115195.8337
MEM 113.523438 1521115195.9339
MEM 113.523438 1521115196.0342
MEM 113.523438 1521115196.1345
MEM 113.523438 1521115196.2347
MEM 113.523438 1521115196.3350
MEM 113.523438 1521115196.4353
MEM 113.523438 1521115196.5355
MEM 113.523438 1521115196.6358
MEM 113.523438 1521115196.7361
MEM 113.523438 1521115196.8363
MEM 113.523438 1521115196.9366
MEM 113.523438 1521115197.0369
MEM 113.523438 1521115197.1371
MEM 113.523438 1521115197.2374
MEM 114.289062 1521115197.3377
MEM 114.289062 1521115197.4379
MEM 114.289062 1521115197.5382
MEM 114.289062 1521115197.6385
MEM 114.289062 1521115197.7387
MEM 114.289062 1521115197.8390
MEM 114.289062 1521115197.9393
MEM 114.289062 1521115198.0395
MEM 114.289062 1521115198.1398
MEM 114.289062 1521115198.2401
MEM 114.289062 1521115198.3403
MEM 114.289062 1521115198.4406
MEM 114.289062 1521115198.5409
MEM 114.289062 1521115198.6411
MEM 114.289062 1521115198.7414
MEM 114.289062 1521115198.8417
MEM 114.289062 1521115198.9419
MEM 114.289062 1521115199.0422
MEM 114.289062 1521115199.1425
MEM 114.289062 1521115199.2427
MEM 114.289062 1521115199.3430
MEM 114.289062 1521115199.4433
MEM 114.289062 1521115199.5435
MEM 114.289062 1521115199.6438
MEM 114.289062 1521115199.7441
MEM 114.289062 1521115199.8443
MEM 114.289062 1521115199.9446
MEM 114.289062 1521115200.0449
MEM 114.289062 1521115200.1451
MEM 114.289062 1521115200.2454
MEM 114.289062 1521115200.3457
MEM 114.289062 1521115200.4459
MEM 114.289062 1521115200.5462
MEM 114.289062 1521115200.6465
MEM 114.289062 1521115200.7467
MEM 114.289062 1521115200.8470
MEM 114.289062 1521115200.9473
MEM 114.289062 1521115201.0475
MEM 114.289062 1521115201.1478
MEM 114.289062 1521115201.2481
MEM 114.289062 1521115201.3483
MEM 117.621094 1521115201.4486
MEM 117.214844 1521115201.5489
MEM 118.171875 1521115201.6491
MEM 118.281250 1521115201.7494
MEM 117.593750 1521115201.8497
MEM 117.777344 1521115201.9499
MEM 117.082031 1521115202.0502
MEM 117.773438 1521115202.1505
MEM 118.171875 1521115202.2507
MEM 117.082031 1521115202.3510
MEM 117.191406 1521115202.4513
MEM 117.773438 1521115202.5515
MEM 118.300781 1521115202.6518
MEM 117.585938 1521115202.7521
MEM 117.570312 1521115202.8523
MEM 117.968750 1521115202.9526
MEM 117.277344 1521115203.0529
MEM 117.191406 1521115203.1531
MEM 117.636719 1521115203.2534
MEM 117.976562 1521115203.3542
MEM 117.636719 1521115203.4544
MEM 117.273438 1521115203.5547
MEM 118.867188 1521115203.6550
MEM 117.550781 1521115203.7552
MEM 117.585938 1521115203.8555
MEM 121.996094 1521115203.9558
MEM 131.625000 1521115204.0560
MEM 133.734375 1521115204.1561
MEM 133.734375 1521115204.2565
MEM 133.734375 1521115204.3571
MEM 133.734375 1521115204.4574
MEM 133.734375 1521115204.5579
MEM 133.734375 1521115204.6581
MEM 133.734375 1521115204.7591
MEM 133.734375 1521115204.8592
MEM 133.734375 1521115204.9592
MEM 133.734375 1521115205.0597
MEM 133.734375 1521115205.1597
MEM 133.734375 1521115205.2606
